sentence_index,sentence_text,raw_label,label_id,label_name,score,relevance_0_1,relevance_-1_1,ma_relevance_0_1
0,Welcome everyone.,LABEL_2,2,LABEL_2,0.518294,0.841037,0.682074,
1,Thank you for standing by for the Alphabet third quarter 2025 earnings conference call.,LABEL_1,1,LABEL_1,0.482708,0.499294,-0.011413,
2,At this time all participants are in a listen only mode.,LABEL_1,1,LABEL_1,0.482893,0.499355,-0.011291,
3,After the speaker presentation there will be a question and answer session.,LABEL_2,2,LABEL_2,0.518398,0.841071,0.682143,
4,To ask a question during the session you will need to press Star one on your telephone.,LABEL_2,2,LABEL_2,0.631141,0.878277,0.756553,
5,"I would now like to hand the conference over to your speaker today, Jim Friedland, Head of Investor Relations.",LABEL_2,2,LABEL_2,0.508255,0.837724,0.675448,
6,Please go ahead.,LABEL_2,2,LABEL_2,0.452652,0.819375,0.63875,
7,Thank you.,LABEL_1,1,LABEL_1,0.46698,0.494103,-0.021793,
8,Good afternoon everyone and welcome to Alphabet's third quarter 2025 earnings conference call.,LABEL_2,2,LABEL_2,0.442951,0.816174,0.632347,
9,"With us today are Sundar Pichai, Philip Schindler and Anat Ashkenazi.",LABEL_1,1,LABEL_1,0.453537,0.489667,-0.030665,
10,Now I'll quickly cover the safe harbor.,LABEL_2,2,LABEL_2,0.566372,0.856903,0.713805,
11,Some of the statements that we make today regarding our business operations and financial performance may be considered forward looking.,LABEL_2,2,LABEL_2,0.75832,0.920246,0.840491,
12,Such statements are based on current expectations and assumptions that are subject to a number of risks and uncertainties.,LABEL_2,2,LABEL_2,0.747013,0.916514,0.833029,
13,Actual results could differ materially.,LABEL_1,1,LABEL_1,0.449956,0.488485,-0.033029,
14,Please refer to our forms 10K and 10Q.,LABEL_2,2,LABEL_2,0.663253,0.888873,0.777747,
15,"Including the risk factors, we undertake no obligation to update any forward looking statement.",LABEL_2,2,LABEL_2,0.602489,0.868821,0.737643,
16,During this call we will present both GAAP and non GAAP financial measures.,LABEL_2,2,LABEL_2,0.954129,0.984862,0.969725,
17,A reconciliation of non GAAP to GAAP measures is included in today's earnings press release which is distributed and available to the public through our investor relations website located at abc.,LABEL_2,2,LABEL_2,0.917157,0.972662,0.945323,
18,Our comments will be on year over year comparisons unless we state otherwise.,LABEL_2,2,LABEL_2,0.482036,0.829072,0.658144,
19,And now I'll turn the call over to Sundar.,LABEL_2,2,LABEL_2,0.470883,0.825391,0.650783,0.778395
20,Thank you Jim Good afternoon everyone and thanks for joining us.,LABEL_2,2,LABEL_2,0.718633,0.907149,0.814298,0.781701
21,This was a terrific quarter for Alphabet driven by double digit growth across every major part of our business.,LABEL_2,2,LABEL_2,0.945267,0.981938,0.963876,0.805833
22,We are seeing AI now driving real business results across the company.,LABEL_2,2,LABEL_2,0.699362,0.900789,0.801579,0.825905
23,We delivered our first ever $100 billion quarter five years ago.,LABEL_2,2,LABEL_2,0.918833,0.973215,0.94643,0.832512
24,Our quarterly revenue was at 50 billion.,LABEL_2,2,LABEL_2,0.927726,0.97615,0.952299,0.837406
25,Our revenue number has doubled since then and we are firmly in the generative AI era.,LABEL_2,2,LABEL_2,0.672571,0.891949,0.783897,0.840117
26,"In parallel, we've built for the long term and diversified with successful businesses in cloud, YouTube and subscriptions.",LABEL_2,2,LABEL_2,0.902148,0.967709,0.935418,0.847534
27,Our momentum is strong and we are shipping at speed.,LABEL_2,2,LABEL_2,0.787242,0.92979,0.85958,0.869318
28,"As just a few examples, our first party models like Gemini now process 7 billion tokens per minute via direct API use by our customers.",LABEL_2,2,LABEL_2,0.891757,0.96428,0.92856,0.876723
29,The Gemini app now has over 650 million monthly active users and queries increased by 3x from Q2.,LABEL_2,2,LABEL_2,0.874046,0.958435,0.91687,0.900162
30,Cloud had another great quarter of accelerating growth with AI revenue as a key driver.,LABEL_2,2,LABEL_2,0.575285,0.859844,0.719688,0.900309
31,Cloud backlog grew 46% quarter over quarter to $155 billion and we crossed 300 million paid subscriptions led by growth in Google One and YouTube Premium.,LABEL_2,2,LABEL_2,0.851384,0.950957,0.901914,0.901844
32,"Today I'll discuss progress in our full Stack approach to AI and then share highlights from Search, Cloud, YouTube and Waymo.",LABEL_1,1,LABEL_1,0.496975,0.504002,-0.001996,0.881219
33,"As a reminder, our full Stack approach spans AI infrastructure world class research including models and tooling and our products and platforms that bring AI to people everywhere.",LABEL_2,2,LABEL_2,0.927169,0.975966,0.951932,0.905593
34,"First up, AI Infrastructure Our extensive and reliable infrastructure which powers all of Google's products is the foundation of our stack and a key differentiator.",LABEL_2,2,LABEL_2,0.969026,0.989779,0.979557,0.910638
35,We are scaling the most advanced chips in our data centers including GPUs from our partner Nvidia as well as our own purpose built TPUs and we are the only company providing a wide range of both.,LABEL_2,2,LABEL_2,0.967675,0.989333,0.978666,0.916664
36,"As we announced Yesterday at Nvidia GTC, we are now shipping the new A4X Max instances powered by Nvidia GB300 to our cloud customers.",LABEL_2,2,LABEL_2,0.964418,0.988258,0.976516,0.916833
37,Our highly sought after TPU portfolio is led by our seventh generation TPU Ironwood which will be generally available soon.,LABEL_2,2,LABEL_2,0.952289,0.984255,0.968511,0.917413
38,We are investing in TPU capacity to meet the tremendous demand we are seeing from customers and partners and we are excited that Anthropic recently shared plans to Access up to 1 million TPUs next world class AI research including models and tooling.,LABEL_2,2,LABEL_2,0.84189,0.947824,0.895647,0.923351
39,Our models are world leading.,LABEL_2,2,LABEL_2,0.64137,0.881652,0.763304,0.926164
40,"Gemini 2.5 Pro, VO Genie 3 and our viral sensation Nanobanana are among the very best in class.",LABEL_2,2,LABEL_2,0.67436,0.892539,0.785078,0.925433
41,Over 230 million videos have been generated with VO3 and more than 13 million developers have built with our generative models.,LABEL_2,2,LABEL_2,0.739346,0.913984,0.827968,0.922035
42,We are looking forward to the release of Gemini 3 later this year.,LABEL_2,2,LABEL_2,0.868022,0.956447,0.912895,0.924818
43,Our research leadership is advancing Next Frontier technologies.,LABEL_2,2,LABEL_2,0.700544,0.901179,0.802359,0.921217
44,"Last week we announced that our Willow Quantum chip achieved a major breakthrough running an algorithm 13,000 times faster than one of the world's best supercomputers.",LABEL_2,2,LABEL_2,0.95434,0.984932,0.969865,0.921656
45,"And the result is verifiable, paving the way to future practical applications.",LABEL_2,2,LABEL_2,0.623395,0.87572,0.751441,0.920844
46,"Speaking of quantum, let me congratulate Michel Devray, our chief scientist for quantum hardware.",LABEL_1,1,LABEL_1,0.431267,0.482318,-0.045364,0.896575
47,He received a Nobel in Physics for early research he did in the 1980s.,LABEL_2,2,LABEL_2,0.431182,0.81229,0.62458,0.8907
48,Three Nobels awarded to current Googlers in two years.,LABEL_2,2,LABEL_2,0.804838,0.935597,0.871193,0.889266
49,Incredible.,LABEL_2,2,LABEL_2,0.548643,0.851052,0.702104,0.883896
50,"And third, our products and platforms.",LABEL_2,2,LABEL_2,0.718333,0.90705,0.8141,0.886257
51,We are bringing AI to more people and developers than anyone else.,LABEL_2,2,LABEL_2,0.903997,0.968319,0.936638,0.887125
52,In July we announced that we processed 980 trillion monthly tokens across all our surfaces.,LABEL_2,2,LABEL_2,0.96231,0.987562,0.975124,0.911303
53,"We are now processing over 1.3 quadrillion monthly tokens, more than 20x growth in a year.",LABEL_2,2,LABEL_2,0.95782,0.986081,0.972161,0.911809
54,Phenomenal.,LABEL_2,2,LABEL_2,0.497662,0.834229,0.668457,0.904031
55,This quarter we took big steps to reimagine Chrome as a browser powered by AI through deep integrations with Gemini and AI mode in search with more agentic capabilities coming soon.,LABEL_2,2,LABEL_2,0.959862,0.986754,0.973509,0.903902
56,"In August at Made by Google, we unveiled our Pixel 10 series of devices.",LABEL_2,2,LABEL_2,0.824129,0.941963,0.883925,0.901587
57,They are the first with our most powerful chip designed to run on Gemini Tensor G5.,LABEL_2,2,LABEL_2,0.923731,0.974831,0.949663,0.901116
58,They are our best reviewed devices ever.,LABEL_2,2,LABEL_2,0.699041,0.900683,0.801367,0.898759
59,"And last week we launched Android xr, our new operating system at Samsung's Galaxy XR device.",LABEL_2,2,LABEL_2,0.951297,0.983928,0.967856,0.903873
60,It brings new ways to use headsets and glasses.,LABEL_2,2,LABEL_2,0.466073,0.823804,0.647608,0.900436
61,"With Gemini at the core now turning to highlights from search, AI is driving an expansionary moment for search.",LABEL_1,1,LABEL_1,0.519502,0.511436,0.012871,0.880309
62,"As people learn what they can do with our new AI experiences, they're increasingly coming back to search more.",LABEL_2,2,LABEL_2,0.677622,0.893615,0.78723,0.877167
63,"Search and its AI experiences are built to highlight the web, sending billions of clicks to sites every day.",LABEL_2,2,LABEL_2,0.722113,0.908297,0.816595,0.877523
64,"During the Q2 call, we shared that overall queries and commercial queries continued to grow year over year.",LABEL_2,2,LABEL_2,0.752354,0.918277,0.836553,0.87419
65,"This growth rate increased in Q3, largely driven by our AI investments in search, most notably AI Overviews and AI mode let me dive into the momentum we are seeing.",LABEL_2,2,LABEL_2,0.611426,0.871771,0.743541,0.873993
66,"As we have shared before, AI overviews drive meaningful query growth.",LABEL_1,1,LABEL_1,0.467286,0.494204,-0.021591,0.874587
67,"This effect was even stronger in Q3 as users continue to learn that Google can answer and more of their questions, and it's particularly encouraging to see the effect was more pronounced with younger people.",LABEL_2,2,LABEL_2,0.7182,0.907006,0.814012,0.879323
68,We're also seeing that AI mode is resonating well with users.,LABEL_2,2,LABEL_2,0.730087,0.910929,0.821858,0.87809
69,In the US we have seen strong and consistent week over week growth in usage since launch and queries doubled over the quarter.,LABEL_2,2,LABEL_2,0.866465,0.955934,0.911867,0.883334
70,"Over the last quarter, we rolled out AI Mode globally across 40 languages in record time.",LABEL_2,2,LABEL_2,0.898682,0.966565,0.93313,0.886309
71,"It now has over 75 million daily active users and we shipped over 100 improvements to the product in Q3, an incredibly fast pace.",LABEL_2,2,LABEL_2,0.94298,0.981183,0.962367,0.886953
72,"Most importantly, AI mode is already driving incremental total query growth for search.",LABEL_2,2,LABEL_2,0.71438,0.905745,0.811491,0.882862
73,"Philip will talk more about monetization and share how AI is helping people connect with businesses and shop on search next Google Cloud, our complete enterprise AI product portfolio is accelerating growth in revenue, operating margins and backlog.",LABEL_2,2,LABEL_2,0.626884,0.876872,0.753744,0.877401
74,"In Q3, customer demand strengthened in three ways.",LABEL_2,2,LABEL_2,0.681608,0.894931,0.789861,0.880436
75,One we are signing new customers faster.,LABEL_2,2,LABEL_2,0.904425,0.96846,0.936921,0.879522
76,The number of new GCP customers increased by nearly 34% year over year.,LABEL_2,2,LABEL_2,0.522357,0.842378,0.684756,0.874542
77,2.,LABEL_2,2,LABEL_2,0.570421,0.858239,0.716478,0.868713
78,We are signing larger deals.,LABEL_2,2,LABEL_2,0.63265,0.878774,0.757549,0.867617
79,We have signed more deals over $1 billion through Q3 this year than we did in the previous two years combined.,LABEL_2,2,LABEL_2,0.942091,0.98089,0.96178,0.867465
80,"Third, we are deepening our relationships.",LABEL_2,2,LABEL_2,0.474979,0.826743,0.653486,0.867612
81,"Over 70% of existing Google Cloud customers use our AI products, including Banco bb, Best Buy and Fair Price Group.",LABEL_2,2,LABEL_2,0.864901,0.955417,0.910834,0.889812
82,"As we scale, we are diversifying revenue.",LABEL_2,2,LABEL_2,0.814962,0.938937,0.877875,0.892078
83,"Today, 13 product lines are each at an annual run rate over $1 billion and we are improving operating margin with highly differentiated products built with our own technology.",LABEL_2,2,LABEL_2,0.932582,0.977752,0.955504,0.89555
84,The this deep product differentiation starts with our AI infrastructure.,LABEL_2,2,LABEL_2,0.613852,0.872571,0.745142,0.893265
85,We have a decade of experience building AI accelerators and today offer the widest array of chips.,LABEL_2,2,LABEL_2,0.96492,0.988423,0.976847,0.899098
86,"This leadership is winning customers like HCA Healthcare, LG, AI Research and Macquarie bank and it's why nine of the top 10 AI labs choose Google Cloud.",LABEL_2,2,LABEL_2,0.824686,0.942147,0.884293,0.921495
87,"We are also the only cloud provider offering our own leading generative AI models including Gemini, Imagen, Veo, Chirp and Lyria.",LABEL_2,2,LABEL_2,0.858218,0.953212,0.906424,0.923805
88,"Adoption is rapidly accelerating in Q3, revenue from products built on our generative AI models grew more than 200% year over year.",LABEL_2,2,LABEL_2,0.689177,0.897428,0.794857,0.92313
89,"Over the past 12 months, nearly 150 Google Cloud customers each processed approximately 1 trillion tokens with our models for a wide range of applications.",LABEL_2,2,LABEL_2,0.92972,0.976808,0.953615,0.924174
90,"For example, WPP is creating campaigns with up to 70% efficiency gains.",LABEL_2,2,LABEL_2,0.852996,0.951489,0.902977,0.92342
91,Swarovski has increased email open rates by 17% and accelerated campaign localization by 10 times.,LABEL_2,2,LABEL_2,0.642476,0.882017,0.764034,0.918462
92,"Earlier this month we launched Gemini Enterprise, the new front door for AI in the workplace and we are seeing strong adoption for agents built on this platform.",LABEL_2,2,LABEL_2,0.918522,0.973112,0.946225,0.92183
93,"Our packaged Enterprise agents in Gemini Enterprise are optimized for a variety of domains, are highly differentiated and offer significant out of box value to customers.",LABEL_2,2,LABEL_2,0.925632,0.975459,0.950917,0.926759
94,We have already crossed 2 million subscribers across 700 companies.,LABEL_2,2,LABEL_2,0.763837,0.922066,0.844132,0.928116
95,"Next YouTube in the living room YouTube has remained number one in streaming watch time in the US for more than two years, according to Nielsen.",LABEL_2,2,LABEL_2,0.766515,0.92295,0.8459,0.925841
96,Last month marked YouTube's first time as a live NFL broadcaster.,LABEL_2,2,LABEL_2,0.669812,0.891038,0.782076,0.928274
97,This exclusive global broadcast live from Brazil drew more than 19 million fans and set a new record for most concurrent viewers of a live stream on YouTube.,LABEL_2,2,LABEL_2,0.584887,0.863013,0.726025,0.928512
98,YouTube Shorts also continues to perform well in the US.,LABEL_2,2,LABEL_2,0.501704,0.835562,0.671124,0.926352
99,Shorts now earn more revenue per watch hour than traditional in stream on YouTube.,LABEL_2,2,LABEL_2,0.601773,0.868585,0.73717,0.920736
100,"At our Made on YouTube event, we rolled out a number of AI powered features that are helping creators supercharge creation and build their businesses.",LABEL_2,2,LABEL_2,0.950481,0.983659,0.967317,0.928582
101,AI is now streamlining the entire content creation workflow from generative video tools and more efficient editing to AI powered insights that help creators optimize their channels.,LABEL_2,2,LABEL_2,0.745158,0.915902,0.831805,0.926606
102,"We are also using AI to expand monetization, automatically identifying products to make their videos more shoppable.",LABEL_2,2,LABEL_2,0.829483,0.943729,0.887459,0.926846
103,Philip will discuss in more detail.,LABEL_1,1,LABEL_1,0.482103,0.499094,-0.011812,0.902913
104,And finally Waymo Next year Waymo aims to open service in London and they are working to bring service to Tokyo.,LABEL_2,2,LABEL_2,0.518314,0.841044,0.682088,0.901337
105,"They've also announced expansions to Dallas, Nashville, Denver and Seattle and secured permission to operate fully autonomously at San Jose and San Francisco airports.",LABEL_2,2,LABEL_2,0.845611,0.949052,0.898103,0.899368
106,Autonomous testing continues to scale in New York City.,LABEL_2,2,LABEL_2,0.551521,0.852002,0.704004,0.894861
107,The new Waymo for Business allows enterprises to offer Waymo as a work travel option and we launched Waymo Teens Accounts in Phoenix this summer.,LABEL_2,2,LABEL_2,0.926482,0.975739,0.951478,0.895987
108,We are pleased to see usage steadily increase with positive feedback from teens and their parents alike.,LABEL_2,2,LABEL_2,0.789658,0.930587,0.861174,0.897645
109,"Waymo's growth and momentum are strong and 2026 is shaping up to be an exciting year overall, a milestone quarter.",LABEL_2,2,LABEL_2,0.834736,0.945463,0.890926,0.896078
110,The incredible work of our teams is driving momentum across the board and our leadership in AI positions us so well for the opportunity ahead I want to thank all of our partners and our employees for their hard work and an excellent Q3.,LABEL_2,2,LABEL_2,0.651406,0.884964,0.769928,0.892752
111,"With that, I'll turn it over to Philip.",LABEL_2,2,LABEL_2,0.699356,0.900787,0.801575,0.89369
112,Thanks Ondar and hello everyone.,LABEL_2,2,LABEL_2,0.59587,0.866637,0.733275,0.888367
113,"I'll quickly cover performance for Google services for the quarter, then structure the rest of my remarks around the great progress we're delivering across search ads, YouTube and partnerships.",LABEL_1,1,LABEL_1,0.595337,0.536461,0.062922,0.866417
114,"Google services revenues were $87 billion for the quarter, up 14% year on year, driven by accelerated growth in search and YouTube, partially offset by year on year decline in network revenues.",LABEL_2,2,LABEL_2,0.710042,0.904314,0.808628,0.865529
115,"Adding some further color to our results, the 15% increase in search and other was led by growth across all major verticals, with the largest contributions from retail and financial services.",LABEL_2,2,LABEL_2,0.613288,0.872385,0.74477,0.863001
116,YouTube saw similar performance across verticals.,LABEL_2,2,LABEL_2,0.512848,0.83924,0.678479,0.860411
117,"Its 15% growth in advertising revenues was driven by direct response features, followed by brand starting with search and other revenues, which delivered over 56 billion in revenue for the quarter.",LABEL_2,2,LABEL_2,0.732359,0.911679,0.823357,0.862844
118,"As Sundar mentioned, AI is driving an expansionary moment and transforming how people use Google Search.",LABEL_2,2,LABEL_2,0.451876,0.819119,0.638238,0.862022
119,"Our investments in new AI experiences such as AI Overviews and AI Mode continue to drive growth in overall queries, including commercial queries, creating more opportunities for monetization.",LABEL_2,2,LABEL_2,0.925519,0.975421,0.950843,0.867364
120,These AI experiences are enhancing how people connect with businesses and shop on search.,LABEL_2,2,LABEL_2,0.566363,0.8569,0.713799,0.861026
121,"We recently added Shopping capabilities and in AI Mode, which now help people shop conversationally in search.",LABEL_2,2,LABEL_2,0.648664,0.884059,0.768118,0.859434
122,And we expanded try on capabilities to more clothing items now available to anyone in the U.S.,LABEL_2,2,LABEL_2,0.879155,0.960121,0.920242,0.860253
123,"lastly, we're making it easier for consumers to benefit from deals through new loyalty offerings like personalized annotations on organic results and ads.",LABEL_2,2,LABEL_2,0.966404,0.988913,0.977826,0.884744
124,"Looking at monetization, businesses can now tap into our most powerful AI search experiences.",LABEL_2,2,LABEL_2,0.863827,0.955063,0.910126,0.890445
125,"Using our most advanced AI models, we can understand and predict intent like never before, unlocking entirely new commercial pathways to provide valuable new consumer connections and helping us monetize even more efficiently.",LABEL_2,2,LABEL_2,0.757815,0.920079,0.840158,0.888997
126,"Rolled out globally in September, AI Max and Search is already used by hundreds of thousands of advertisers, currently making it the fastest growing AI powered search ads product.",LABEL_2,2,LABEL_2,0.859192,0.953533,0.907066,0.894073
127,"In Q3 alone, Aimax unlocked billions of net new queries by delivering the most relevant ad across surfaces and matching advertisers against additional queries they weren't reaching before.",LABEL_2,2,LABEL_2,0.678796,0.894003,0.788005,0.889986
128,Aimax helps advertisers discover new customers at the exact moment they need their product or service.,LABEL_2,2,LABEL_2,0.661893,0.888425,0.77685,0.887878
129,"Kayak, for example, looked to grow conversions while staying within their ROAS goals.",LABEL_2,2,LABEL_2,0.648097,0.883872,0.767744,0.884799
130,"After turning on Aimax and Search, they grew the conversion value by 12% in early tests.",LABEL_2,2,LABEL_2,0.761789,0.92139,0.842781,0.88662
131,We continue to infuse generative AI capabilities at every step of the marketing process.,LABEL_2,2,LABEL_2,0.849502,0.950336,0.900671,0.889097
132,"We rolled out Imagen 4 in asset studio and Product Studio, helping businesses produce more and better creatives.",LABEL_2,2,LABEL_2,0.955114,0.985188,0.970375,0.895025
133,"On the measurement front, we enriched the model supporting Meridian, our marketing mix model with additional variables and more granular reporting in PMAX is making bidding more effective Financial services company SOFI has been using pmax to meet its ambitious growth targets and help drive a 39% improvement in its conversion volume year over year.",LABEL_2,2,LABEL_2,0.952191,0.984223,0.968446,0.917413
134,"Moving to YouTube where we saw accelerated revenue growth, our recommendation systems are driving robust watch time growth in our key monetization areas like Shorts and Living Room.",LABEL_2,2,LABEL_2,0.731698,0.91146,0.82292,0.91777
135,"As we leverage Gemini models, we're seeing further discovery improvement on direct response.",LABEL_2,2,LABEL_2,0.592421,0.865499,0.730998,0.917426
136,We're excited about the growth in revenue we're seeing especially from small and medium advertisers adopting Demand Gen we also improved performance on Demand gen with over 100 launches helping to increase conversion value by more than 40% for advertisers using target based bidding on YouTube.,LABEL_2,2,LABEL_2,0.952287,0.984255,0.968509,0.924677
137,The retail vertical continues to lead our growth on YouTube with demand gen helping us further monetize shopping related categories.,LABEL_2,2,LABEL_2,0.87323,0.958166,0.916332,0.927001
138,"Looking at the Living room, our long term bet more advertisers are adopting interactive direct response ads leading to an annual revenue run rate exceeding 1 billion globally for this format for our viewers, we continue to give fans greater access across sports while tapping into the best of YouTube's product innovation and creator led content.",LABEL_2,2,LABEL_2,0.928188,0.976302,0.952604,0.93486
139,Sundar mentioned that we expanded our NFL partnership with our first ever exclusive global broadcast of an NFL game.,LABEL_2,2,LABEL_2,0.648738,0.884084,0.768167,0.930293
140,Brands love the opportunity and we sold all our ad inventory within a couple of weeks.,LABEL_2,2,LABEL_2,0.91517,0.972006,0.944012,0.936049
141,Looking at Creators A significant force behind the thriving YouTube creator economy is the collaboration between creators and brands.,LABEL_2,2,LABEL_2,0.718764,0.907192,0.814384,0.937205
142,"Tools like direct linking to deals, websites and shorts and swappable brand segments in long form will soon help creators show how they deliver great value for brands.",LABEL_2,2,LABEL_2,0.848552,0.950022,0.900044,0.9367
143,"Thanks to a collaboration with Dude Perfect Comcast, xfinity drove an 8% search lift, beating other Xfinity ads recall lift on shorts by 34%.",LABEL_2,2,LABEL_2,0.605413,0.869786,0.739573,0.930744
144,At the same time it decreased the cost per lifted user by 50% when compared to the next most efficient ad.,LABEL_2,2,LABEL_2,0.666615,0.889983,0.779966,0.92749
